CAN IDs,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,NOTES
ID,Bytes,A,B,C,D,E,F,G,H,,This chart shows all of the known CAN IDs and the number of bytes in each message
002,5,,,,,,,,,,
160,7,,,,,,,,,,
180,8,,,,,,,,,,
182,8,,,,,,,,,,
1F9,8,,,,,,,,,,
215,6,,,,,,,,,,
216,2,,,,,,,,,,
245,8,,,,,,,,,,
280,8,,,,,,,,,,
284,8,,,,,,,,,,
285,8,,,,,,,,,,
292,8,,,,,,,,,,
2DE,8,,,,,,,,,,
342,4,,,,,,,,,,
351,8,,,,,,,,,,
354,8,,,,,,,,,,
355,7,,,,,,,,,,
358,8,,,,,,,,,,
35D,8,,,,,,,,,,
385,7,,,,,,,,,,
421,2,,,,,,,,,,
512,4,,,,,,,,,,
54C,8,,,,,,,,,,
551,8,,,,,,,,,,
580,8,,,,,,,,,,
5C5,8,,,,,,,,,,
60D,8,,,,,,,,,,
625,6,,,,,,,,,,
682,1,,,,,,,,,,
6E2,8,,,,,,,,,,
