PID,Bytes,Description,Min value,Max value,Units,Formula,Unnamed: 7,Notes:,Unnamed: 9
00,4.0,PIDs supported [01 - 20],,,,Bit encoded [A7..D0] == [PID $01..PID $20],,XX,"Supported based on ""PIDs supported"" bit fields"
01,4.0,Monitor status since DTCs cleared (Includes malfunction indicator lamp (MIL) status and number of DTCs),,,,Bit encoded. See below,,XX,"Not supported based on ""PIDs supported"" bit fields"
02,2.0,Freeze DTC,,,,,,,
03,2.0,Fuel system status,,,,Bit encoded. See below,,,
04,1.0,Calculated engine load value,0,100, %,A*100/255,,,
05,1.0,Engine coolant temperature,-40,215,°C,A-40,,,
06,1.0,Short term fuel % trim—Bank 1,-100 Subtracting Fuel (Rich Condition),99.22 Adding Fuel (Lean Condition), %,(A-128) * 100/128,,,
07,1.0,Long term fuel % trim—Bank 1,-100 Subtracting Fuel (Rich Condition),99.22 Adding Fuel (Lean Condition), %,(A-128) * 100/128,,,
08,1.0,Short term fuel % trim—Bank 2,-100 Subtracting Fuel (Rich Condition),99.22 Adding Fuel (Lean Condition), %,(A-128) * 100/128,,,
09,1.0,Long term fuel % trim—Bank 2,-100 Subtracting Fuel (Rich Condition),99.22 Adding Fuel (Lean Condition), %,(A-128) * 100/128,,,
0A,1.0,Fuel pressure,0,765,kPa (gauge),A*3,,,
0B,1.0,Intake manifold absolute pressure,0,255,kPa (absolute),A,,,
0C,2.0,Engine RPM,0,16383.75,rpm,((A*256)+B)/4,,,
0D,1.0,Vehicle speed,0,255,km/h,A,,,
0E,1.0,Timing advance,-64,63.5,° relative to #1 cylinder,(A-128)/2,,,
0F,1.0,Intake air temperature,-40,215,°C,A-40,,,
10,2.0,MAF air flow rate,0,655.35,grams/sec,((A*256)+B) / 100,,,
11,1.0,Throttle position,0,100, %,A*100/255,,,
12,1.0,Commanded secondary air status,,,,Bit encoded. See below,,,
13,1.0,Oxygen sensors present,,,,"[A0..A3] == Bank 1, Sensors 1-4. [A4..A7] == Bank 2...",,,
14,2.0,"Bank 1, Sensor 1:",,,,,,,
,,Oxygen sensor voltage,0,1.275,Volts,A/200,,,
,,Short term fuel trim,-100(lean),99.2(rich),%,"(B-128) * 100/128 (if B==$FF, sensor is not used in trim calc)",,,
15,2.0,"Bank 1, Sensor 2:",,,,,,,
,,Oxygen sensor voltage,0,1.275,Volts,A/200,,,
,,Short term fuel trim,-100(lean),99.2(rich),%,"(B-128) * 100/128 (if B==$FF, sensor is not used in trim calc)",,,
16,2.0,"Bank 1, Sensor 3:",,,,,,,
,,Oxygen sensor voltage,0,1.275,Volts,A/200,,,
,,Short term fuel trim,-100(lean),99.2(rich),%,"(B-128) * 100/128 (if B==$FF, sensor is not used in trim calc)",,,
17,2.0,"Bank 1, Sensor 4:",,,,,,,
,,Oxygen sensor voltage,0,1.275,Volts,A/200,,,
,,Short term fuel trim,-100(lean),99.2(rich),%,"(B-128) * 100/128 (if B==$FF, sensor is not used in trim calc)",,,
18,2.0,"Bank 2, Sensor 1:",,,,,,,
,,Oxygen sensor voltage,0,1.275,Volts,A/200,,,
,,Short term fuel trim,-100(lean),99.2(rich),%,"(B-128) * 100/128 (if B==$FF, sensor is not used in trim calc)",,,
19,2.0,"Bank 2, Sensor 2:",,,,,,,
,,Oxygen sensor voltage,0,1.275,Volts,A/200,,,
,,Short term fuel trim,-100(lean),99.2(rich),%,"(B-128) * 100/128 (if B==$FF, sensor is not used in trim calc)",,,
1A,2.0,"Bank 2, Sensor 3:",,,,,,,
,,Oxygen sensor voltage,0,1.275,Volts,A/200,,,
,,Short term fuel trim,-100(lean),99.2(rich),%,"(B-128) * 100/128 (if B==$FF, sensor is not used in trim calc)",,,
1B,2.0,"Bank 2, Sensor 4:",,,,,,,
,,Oxygen sensor voltage,0,1.275,Volts,A/200,,,
,,Short term fuel trim,-100(lean),99.2(rich),%,"(B-128) * 100/128 (if B==$FF, sensor is not used in trim calc)",,,
1C,1.0,OBD standards this vehicle conforms to,,,,Bit encoded. See below,,,
1D,1.0,Oxygen sensors present,,,,"Similar to PID 13, but [A0..A7] == [B1S1, B1S2, B2S1, B2S2, B3S1, B3S2, B4S1, B4S2]",,,
