Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,00000284,false,Rx,0,8,00,00,00,00,00,00,0F,95,
71,00000174,false,Rx,0,8,FF,EF,FE,AA,0B,00,00,00,
87,00000176,false,Rx,0,7,00,00,02,45,00,00,0B,00,
3994,00000182,false,Rx,0,8,00,00,00,00,00,1D,40,CF,
4012,00000580,false,Rx,0,5,00,82,40,B6,6C,00,00,00,
8057,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
8076,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
12185,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E1,
12204,00000176,false,Rx,0,7,00,00,02,40,00,00,0C,00,
16302,00000182,false,Rx,0,8,00,00,00,00,00,1E,40,CF,
16319,00000280,false,Rx,0,8,03,40,C0,00,00,00,DE,40,
16323,00000002,false,Rx,0,5,0D,00,00,07,B1,00,00,00,
20384,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
20456,00000284,false,Rx,0,8,00,00,00,00,00,00,10,96,
24477,00000174,false,Rx,0,8,FF,EF,FE,AA,0D,00,00,00,
24495,0000060D,false,Rx,0,8,06,06,00,00,00,00,00,00,
24500,00000002,false,Rx,0,5,0D,00,00,07,82,00,00,00,
28521,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
28540,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
32735,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E2,
32763,00000280,false,Rx,0,8,03,3F,C0,00,00,00,D8,40,
36729,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
36753,00000002,false,Rx,0,5,0D,00,00,07,93,00,00,00,
40927,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
40946,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
40950,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
44975,000001F9,false,Rx,0,8,28,00,14,82,00,00,51,A8,
44991,00000355,false,Rx,0,7,00,00,00,00,00,00,40,00,
49135,0000035D,false,Rx,0,8,80,03,00,00,10,00,00,00,
49185,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E3,
49209,00000174,false,Rx,0,8,FF,EF,FE,AA,00,00,00,00,
53217,00000421,false,Rx,0,3,08,00,00,00,00,00,00,00,
53233,00000180,false,Rx,0,8,14,82,32,23,3C,00,32,11,
57273,000001F9,false,Rx,0,8,28,00,14,82,00,00,51,A8,
57293,00000002,false,Rx,0,5,0D,00,00,07,F5,00,00,00,
57299,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
61376,00000174,false,Rx,0,8,FF,EF,FE,AA,01,00,00,00,
61391,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
65429,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
65443,00000002,false,Rx,0,5,0D,00,00,07,C6,00,00,00,
65446,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
